period,year,report_type,disclosure_date,disclosure_source
1993-12-31,1993,1993年报,1994-04-30,estimated_by_report_type
1994-12-31,1994,1994年报,1995-04-30,estimated_by_report_type
1995-12-31,1995,1995年报,1996-04-30,estimated_by_report_type
1996-12-31,1996,1996年报,1997-04-30,estimated_by_report_type
1997-12-31,1997,1997年报,1998-04-30,estimated_by_report_type
1998-12-31,1998,1998年报,1999-04-30,estimated_by_report_type
1999-12-31,1999,1999年报,2000-04-30,estimated_by_report_type
2000-12-31,2000,2000年报,2001-04-30,estimated_by_report_type
2001-12-31,2001,2001年报,2002-04-30,estimated_by_report_type
2002-12-31,2002,2002年报,2003-04-30,estimated_by_report_type
2003-12-31,2003,2003年报,2004-04-30,estimated_by_report_type
2004-12-31,2004,2004年报,2005-03-11,stock_report_disclosure
2005-12-31,2005,2005年报,2006-03-18,stock_report_disclosure
2006-12-31,2006,2006年报,2007-03-13,stock_report_disclosure
2007-12-31,2007,2007年报,2008-03-20,stock_report_disclosure
2008-12-31,2008,2008年报,2009-03-17,stock_report_disclosure
2009-12-31,2009,2009年报,2010-03-13,stock_report_disclosure
2010-12-31,2010,2010年报,2011-03-24,stock_report_disclosure
2011-12-31,2011,2011年报,2012-03-21,stock_report_disclosure
2012-12-31,2012,2012年报,2013-04-18,stock_report_disclosure
2013-12-31,2013,2013年报,2014-03-28,stock_report_disclosure
2014-12-31,2014,2014年报,2015-03-13,stock_report_disclosure
2015-12-31,2015,2015年报,2016-03-11,stock_report_disclosure
2016-12-31,2016,2016年报,2017-02-28,stock_report_disclosure
2017-12-31,2017,2017年报,2018-02-09,stock_report_disclosure
2018-12-31,2018,2018年报,2019-03-07,stock_report_disclosure
2019-12-31,2019,2019年报,2020-03-27,stock_report_disclosure
2020-12-31,2020,2020年报,2021-03-12,stock_report_disclosure
2021-12-31,2021,2021年报,2022-03-17,stock_report_disclosure
2022-12-31,2022,2022年报,2023-03-30,stock_report_disclosure
2023-12-31,2023,2023年报,2024-03-20,stock_report_disclosure
2024-12-31,2024,2024年报,2025-04-21,stock_report_disclosure
2025-12-31,2025,2025年报,2026-04-22,stock_report_disclosure
