period,revenue,net_profit,roe,gross_margin,net_margin,asset_liability_ratio,current_ratio,period_date,year,source
1993-12-31,42904799.99999999,5182400.0,,39.06,12.08,53.54,1.54,1993-12-31,1993.0,stock_financial_abstract_ths
1994-12-31,113999999.99999999,15446600.0,,23.72,13.58,60.15,1.04,1994-12-31,1994.0,stock_financial_abstract_ths
1995-12-31,136000000.0,27002900.0,,42.23,20.84,66.65,1.18,1995-12-31,1995.0,stock_financial_abstract_ths
1996-12-31,141000000.0,56115200.00000001,,38.75,40.4,52.0,1.51,1996-12-31,1996.0,stock_financial_abstract_ths
1997-12-31,130000000.0,47413400.0,11.82,51.07,36.4,48.57,1.69,1997-12-31,1997.0,stock_financial_abstract_ths
1998-12-31,259000000.0,71382100.0,11.4,68.32,26.26,41.01,2.11,1998-12-31,1998.0,stock_financial_abstract_ths
1999-12-31,305000000.0,13727800.0,,70.39,8.04,41.43,1.62,1999-12-31,1999.0,stock_financial_abstract_ths
2000-12-31,314000000.0,16836100.0,4.4,72.05,12.18,48.91,1.53,2000-12-31,2000.0,stock_financial_abstract_ths
2001-12-31,407000000.0,4353000.0,0.96,64.78,3.38,54.14,1.37,2001-12-31,2001.0,stock_financial_abstract_ths
2002-12-31,446000000.0,2136500.0,1.62,68.22,3.14,53.07,1.04,2002-12-31,2002.0,stock_financial_abstract_ths
2003-12-31,424000000.0,-108000000.0,-26.97,70.85,-26.61,71.21,1.2,2003-12-31,2003.0,stock_financial_abstract_ths
2004-12-31,366000000.0,7165900.0,2.09,72.43,3.7,70.12,1.21,2004-12-31,2004.0,stock_financial_abstract_ths
2005-12-31,487000000.0,-58869300.0,-19.04,51.41,-9.74,70.49,1.34,2005-12-31,2005.0,stock_financial_abstract_ths
2006-12-31,582000000.0,4522400.0,1.75,54.54,3.57,66.52,1.43,2006-12-31,2006.0,stock_financial_abstract_ths
2007-12-31,662000000.0,7518099.999999999,1.98,62.63,2.41,67.16,1.0,2007-12-31,2007.0,stock_financial_abstract_ths
2008-12-31,803999999.9999999,20094900.0,5.54,66.57,6.36,63.07,1.33,2008-12-31,2008.0,stock_financial_abstract_ths
2009-12-31,1024000000.0,73154700.0,18.33,75.15,12.81,55.45,1.21,2009-12-31,2009.0,stock_financial_abstract_ths
2010-12-31,1166000000.0,86461400.0,18.06,76.1,10.86,54.36,1.3,2010-12-31,2010.0,stock_financial_abstract_ths
2011-12-31,1295000000.0,110000000.00000001,18.99,82.74,12.73,54.04,1.18,2011-12-31,2011.0,stock_financial_abstract_ths
2012-12-31,1761000000.0,300000000.0,38.47,81.95,22.8,43.66,1.42,2012-12-31,2012.0,stock_financial_abstract_ths
2013-12-31,2048999999.9999998,284000000.0,26.5,81.23,20.55,39.26,1.67,2013-12-31,2013.0,stock_financial_abstract_ths
2014-12-31,2262000000.0,318000000.0,23.55,76.54,19.64,35.06,1.93,2014-12-31,2014.0,stock_financial_abstract_ths
2015-12-31,2402000000.0,384000000.0,23.9,78.32,22.42,36.18,1.88,2015-12-31,2015.0,stock_financial_abstract_ths
2016-12-31,2897000000.0,484999999.99999994,15.62,79.42,23.36,28.26,2.78,2016-12-31,2016.0,stock_financial_abstract_ths
2017-12-31,4102000000.0000005,662000000.0,15.99,81.94,22.61,29.26,2.66,2017-12-31,2017.0,stock_financial_abstract_ths
2018-12-31,5375000000.0,1006000000.0,20.85,85.1,27.22,32.8,2.24,2018-12-31,2018.0,stock_financial_abstract_ths
2019-12-31,7373999999.999999,1775000000.0,28.54,85.19,31.86,30.77,2.72,2019-12-31,2019.0,stock_financial_abstract_ths
2020-12-31,8577000000.0,3047000000.0,31.22,86.69,38.57,26.84,3.2,2020-12-31,2020.0,stock_financial_abstract_ths
2021-12-31,10747000000.0,3757000000.0,28.81,87.61,36.27,23.45,3.72,2021-12-31,2021.0,stock_financial_abstract_ths
2022-12-31,12627000000.0,4140999999.9999995,25.71,88.0,33.38,20.06,4.01,2022-12-31,2022.0,stock_financial_abstract_ths
2023-12-31,14566000000.0,4532000000.0,22.6,85.97,32.79,18.58,3.79,2023-12-31,2023.0,stock_financial_abstract_ths
2024-12-31,13466000000.0,2583000000.0,11.66,85.72,20.11,15.94,4.76,2024-12-31,2024.0,stock_financial_abstract_ths
2025-12-31,12083000000.0,155000000.0,0.69,82.11,-0.19,17.32,3.76,2025-12-31,2025.0,stock_financial_abstract_ths
