model,metric,value,valid_start,test_start,window,transaction_cost
dual_branch_lstm,Accuracy,0.4948942377826404,2024-01-01,2025-01-01,20,0.001
dual_branch_lstm,Precision,0.4808376135914658,2024-01-01,2025-01-01,20,0.001
dual_branch_lstm,Recall,0.9448757763975155,2024-01-01,2025-01-01,20,0.001
dual_branch_lstm,F1-score,0.6373396177009688,2024-01-01,2025-01-01,20,0.001
dual_branch_lstm,DirectionHitRate,0.4948942377826404,2024-01-01,2025-01-01,20,0.001
dual_branch_lstm,strategy_cum_return,-0.11256001647803149,2024-01-01,2025-01-01,20,0.001
dual_branch_lstm,buy_hold_cum_return,-0.3740398564567118,2024-01-01,2025-01-01,20,0.001
dual_branch_lstm,max_drawdown,-0.836416885326939,2024-01-01,2025-01-01,20,0.001
dual_branch_lstm,trade_count,152.0,2024-01-01,2025-01-01,20,0.001
dual_branch_lstm,total_transaction_cost,0.152,2024-01-01,2025-01-01,20,0.001
dual_branch_lstm,valid_f1_at_threshold,0.5934718100890207,2024-01-01,2025-01-01,20,0.001
dual_branch_lstm,valid_loss,0.6810339689254761,2024-01-01,2025-01-01,20,0.001
dual_branch_lstm,best_epoch,5.0,2024-01-01,2025-01-01,20,0.001
dual_branch_lstm,threshold,0.28,2024-01-01,2025-01-01,20,0.001
dual_branch_lstm,threshold_objective,f1,2024-01-01,2025-01-01,20,0.001
dual_branch_lstm,min_hold_proba,0.2,2024-01-01,2025-01-01,20,0.001
dual_branch_lstm,min_valid_trades,20.0,2024-01-01,2025-01-01,20,0.001
dual_branch_lstm,lstm_hidden,32.0,2024-01-01,2025-01-01,20,0.001
dual_branch_lstm,static_hidden,32.0,2024-01-01,2025-01-01,20,0.001
dual_branch_lstm,dropout,0.2,2024-01-01,2025-01-01,20,0.001
dual_branch_lstm,learning_rate,0.001,2024-01-01,2025-01-01,20,0.001
dual_branch_lstm,sequence_feature_count,80.0,2024-01-01,2025-01-01,20,0.001
dual_branch_lstm,static_feature_count,21.0,2024-01-01,2025-01-01,20,0.001
