figure_id,purpose,core_conclusion,chart_type,evidence_layers,source_data_paths,output_targets,failure_signal
fig_pca_robustness,检验 PCA 综合得分是否支持 TOPSIS 绩效排序结论,PCA 与 TOPSIS 得分高度一致，Spearman 相关系数为 0.932,scatter with reference trend,"PCA score, TOPSIS score, year labels for recent and top-score years",data/processed/standardized_matrix.csv; outputs/tables/topsis_scores.csv,outputs/figures/pca_topsis_robustness.png/svg/pdf,若相关系数低或近期年份排名方向相反，则 TOPSIS 结论对降维方法不稳健
fig_pca_biplot,展示年度绩效样本在 PC1-PC2 空间中的二维结构，并解释主要指标驱动,高位表现期沿收入、净利润和 ROE 方向聚集，近期调整期从高绩效区域回落,PCA biplot,"year coordinates, period stage colors, indicator loading arrows",data/processed/standardized_matrix.csv; outputs/tables/topsis_scores.csv,outputs/figures/pca_2d_biplot.png/svg/pdf,若前两主成分解释率过低或载荷方向无法解释绩效分层，则二维图不适合作为主证据
fig_leave_one_indicator_sensitivity,检验 TOPSIS 结论是否被某一个指标主导,去除任一指标后，2025 年排名最大变化为 2 位，排序结论较稳健,horizontal bar sensitivity plot,"leave-one-indicator rank change, Spearman correlation labels",data/processed/standardized_matrix.csv; outputs/tables/topsis_scores.csv,outputs/figures/leave_one_indicator_sensitivity.png/svg/pdf,若去掉某一指标后最新年度排名大幅改善或相关性显著降低，则模型被单一指标主导
fig_indicator_heatmap,展示各年度在所有标准化指标上的强弱结构,2021-2023 年多项指标同步处于高位，2025 年主要在净利润、ROE 和净利率上明显转弱,heatmap,year by indicator standardized matrix,data/processed/standardized_matrix.csv,outputs/figures/indicator_heatmap.png/svg/pdf,若高绩效年份没有形成成片高值区域，则综合得分缺少多指标共振证据
fig_degradation_contribution,拆解 2023 高点到最新年度的综合绩效下降来源,净利润、ROE、净利率和营收规模回落是 2025 年相对 2023 年退化的主要来源,diverging horizontal bar,standardized indicator change weighted by entropy weights,data/processed/standardized_matrix.csv; outputs/tables/entropy_weights.csv,outputs/figures/degradation_contribution_2023_2025.png/svg/pdf,若贡献分散且无主要负向指标，则退化结论不能归因到利润与回报指标
fig_entropy_vs_pca_loading,比较熵权法和 PCA 对关键指标重要性的判断是否一致,熵权与 PC1 载荷的秩相关为 0.467，两种方法均强调规模与利润指标,scatter with labels,entropy weights and absolute PC1 loadings by indicator,outputs/tables/entropy_weights.csv; outputs/tables/plot_data_pca_loadings.csv,outputs/figures/entropy_vs_pca_loading.png/svg/pdf,若两种方法的重要性排序完全背离，则综合评价解释需要谨慎
fig_stage_score_distribution,比较不同发展阶段的综合绩效得分分布,2021-2023 高位表现期得分整体最高，2024-2025 近期调整期明显回落,boxplot with jittered observations,stage-level TOPSIS score distribution,outputs/tables/topsis_scores.csv,outputs/figures/stage_score_distribution.png/svg/pdf,若阶段分布高度重叠，则阶段性叙述证据不足
fig_rank_bump,展示年度 TOPSIS 排名随时间的变化轨迹,公司在 2021-2023 年排名快速上行并于 2023 年居首，2024-2025 年排名回落,bump/rank line chart,annual TOPSIS rank series,outputs/tables/topsis_scores.csv,outputs/figures/topsis_rank_bump.png/svg/pdf,若排名轨迹没有明显转折，则阶段性回落叙事不足
lstm_fig1_model_progress,比较 LSTM 体系从单股模型到滚动验证与双分支面板模型的性能演进,双分支 LSTM 的 F1-score 明显高于单股 LSTM，但策略收益仍为负，说明模型提升不能替代交易风控。,two-panel horizontal bar chart,"F1-score, strategy cumulative return, stage grouping",outputs/tables/lstm_metrics.csv; outputs/tables/lstm_rolling_metrics.csv; outputs/tables/dual_branch_metrics.csv,outputs/figures/lstm_fig1_model_progress.svg/png/pdf,若双分支模型 F1 和策略收益均未改善，则深度结构扩展缺少实证收益。
lstm_fig2_rolling_stability,检验单股 LSTM 在滚动年份中的稳定性和失效风险,融合 LSTM 的平均 F1 略高，但不同年份策略收益波动较大，模型需要滚动验证而非单次切分。,two-panel line chart,"yearly F1-score, yearly strategy cumulative return, model comparison",outputs/tables/lstm_rolling_metrics.csv,outputs/figures/lstm_fig2_rolling_stability.svg/png/pdf,若年度曲线方向相反或收益长期为负，则单股模型不能直接用于交易信号。
lstm_fig3_shap_explainability,解释融合预测模型中哪些特征贡献最大,PEG、布林带宽度、均线、波动率和指数收益等特征贡献靠前，短期方向更依赖估值与市场技术状态。,horizontal SHAP importance bar chart,"top mean absolute SHAP features, feature category colors",outputs/tables/shap_importance.csv; outputs/tables/shap_proxy_metrics.csv,outputs/figures/lstm_fig3_shap_explainability.svg/png/pdf,若财务/TOPSIS 特征贡献很低，应避免夸大经营绩效对短期股价方向的即时解释力。
lstm_fig4_dual_branch_panel,展示双分支 LSTM 在不同同行股票上的预测差异,药明康德、恒瑞医药等样本 F1 较高，但整体呈现高召回、低精度结构，阈值和风控仍是关键。,bar chart plus precision-recall scatter,"symbol-level F1-score, precision, recall",outputs/tables/dual_branch_symbol_metrics.csv,outputs/figures/lstm_fig4_dual_branch_panel.svg/png/pdf,若个股间表现差异过大，应采用分组阈值或行业/市值分层模型。
lstm_fig5_walk_forward_strategy,在逐年重训的样本外环境中检验模型选股信号是否稳健,最优 walk-forward Top5 组合跑赢等权基准 17.5 个百分点，但总收益仍为负，说明模型具有相对收益而非绝对收益保证。,annual grouped bar plus cumulative return line,"yearly strategy return, yearly benchmark return, cumulative return curves",outputs/tables/walk_forward_topk_metrics.csv; outputs/tables/walk_forward_topk_yearly_metrics.csv; outputs/tables/walk_forward_topk_backtest.csv,outputs/figures/lstm_fig5_walk_forward_strategy.svg/png/pdf,若多数年份不能跑赢等权基准，则模型不具备稳定截面排序能力。
