indicator,indicator_label,standardized_2023,standardized_2025,weight,standardized_change,weighted_contribution
net_profit,净利润,1.0,0.05668103448275862,0.2767706938257126,-0.9433189655172414,-0.26108304458516035
revenue,营业收入,1.0,0.829030935499204,0.24884092858603304,-0.17096906450079596,-0.042544100769863445
roe,ROE,0.7574877750611247,0.42267726161369196,0.07909808545402777,-0.3348105134474328,-0.026482870603571955
revenue_growth,营收增长率,0.16186094526516928,0.019003584586503648,0.10566070354093376,-0.14285736067866564,-0.015094409235308739
net_margin,净利率,0.8864348604685869,0.3942695120131324,0.022913136476497196,-0.4921653484554545,-0.011277051798162628
gross_margin,毛利率,0.9684194150591163,0.9083696328562538,0.025965140835799295,-0.0600497822028625,-0.001559201052056399
current_ratio,流动比率,0.7420212765957447,0.7340425531914894,0.14307764281226415,-0.007978723404255317,-0.0011415769373318944
net_profit_growth,净利润增长率,0.9530168044902271,0.9339283054239806,0.019893510318276127,-0.019088499066246434,-0.0003797372531347777
asset_liability_ratio,资产负债率,0.9522344852542066,0.9750316627465171,0.07778015815045607,0.022797177492310472,0.001773168070735926
