year,revenue,net_profit,roe,gross_margin,net_margin,asset_liability_ratio,current_ratio,revenue_growth,net_profit_growth
1993,0.0,0.024392758620689656,,0.23864343497199755,0.5773765109685122,0.3197032748326397,0.14361702127659576,,
1994,0.004895320110550539,0.026604870689655172,,0.0,0.5997612296672139,0.20010855798805854,0.010638297872340436,1.0,0.9878230728593527
1995,0.006410148712651832,0.029095452586206896,,0.2879589296826384,0.7081032681689301,0.08250407092455199,0.0478723404255319,0.18383763882716989,0.9650802561913975
1996,0.0067544279404021254,0.03536965517241379,,0.2338207840696951,1.0,0.34756649176768584,0.13563829787234044,0.09675186738393242,0.9711693818459007
1997,0.00599701363935148,0.033494267241379314,0.5927567237163814,0.42548226509023024,0.9403074168034623,0.40962547494119766,0.18351063829787234,0.03276676845066559,0.94841281924577
1998,0.014879417715309061,0.03865993534482759,0.5863386308068459,0.6938394523957684,0.7889867184002389,0.5464085398950606,0.2952127659574468,0.6294326797922218,0.9606030933931015
1999,0.018046786610611765,0.026234439655172415,,0.7260423148724331,0.517087001940009,0.538809480730957,0.16489361702127664,0.1752659171382895,0.9363698174539024
2000,0.018666489220562296,0.026904331896551725,0.4793704156479217,0.7518668326073429,0.5788688255484257,0.40347385561787585,0.14095744680851066,0.09270662478358417,0.9554526981699958
2001,0.02507008285671776,0.024214008620689655,0.4268031784841076,0.6387678904791537,0.44754514251604244,0.30884747602677753,0.09840425531914897,0.24136563090712085,0.9375921227594178
2002,0.027755460833170053,0.023736314655172414,0.43688875305623476,0.6922837585563161,0.4439635875242502,0.3282069838972317,0.010638297872340436,0.1296747934899036,0.9418781080843504
2003,0.02624063223106876,0.0,0.0,0.733198506533914,0.0,0.0,0.05319148936170212,0.04875864343684532,0.0
2004,0.02224699318916535,0.024820237068965516,0.44407090464547677,0.7577784691972621,0.45232054917176545,0.019721367830649345,0.055851063829787224,0.0,0.9315965527805488
2005,0.030578550500722463,0.010588512931034483,0.121179706601467,0.43077162414436837,0.2517534696313983,0.013026958567034537,0.09042553191489364,0.26055507411896384,0.7812222255255521
2006,0.03711985582797805,0.02425051724137931,0.4388753056234719,0.4794648413192284,0.450380540217878,0.08485616066582229,0.11436170212765956,0.1850024110386811,0.931403343381313
2007,0.04262832347198275,0.024896142241379312,0.44238997555012227,0.6053204729309273,0.433069691090882,0.07327664193956934,0.0,0.15288422102218582,0.963498215473762
2008,0.052405853540091085,0.02760665948275862,0.4967909535452323,0.6666148102053515,0.4920161169974631,0.1472770037995295,0.08776595744680854,0.19583373692095202,0.982144603566472
2009,0.06755413956110402,0.03904196120689655,0.6922371638141809,0.8000933416303673,0.5882704074018804,0.2851456486339785,0.055851063829787224,0.22879676714365102,1.0
2010,0.07733166962921237,0.04190978448275862,0.6881112469437654,0.8148724331051648,0.5591702730935681,0.3048670164646281,0.07978723404255321,0.15356144519151188,0.9546310462765253
2011,0.08621407370516995,0.04698275862068965,0.702322738386308,0.9181705040448039,0.5870765557379497,0.3106567758277546,0.0478723404255319,0.1379317007730532,0.956298240094721
2012,0.11830089773149735,0.08793103448275862,1.0,0.9058805227131301,0.7373526339352336,0.4984620951691695,0.11170212765957445,0.27685781155134515,0.9831485309459026
2013,0.13813138124991425,0.08448275862068966,0.8170843520782396,0.8946795270690728,0.7037755558871811,0.5780712864121584,0.17819148936170212,0.1674264479089737,0.9502902163864745
2014,0.1527976763520768,0.09181034482758621,0.7720048899755501,0.8217174859987555,0.6901954932099688,0.6540618780531933,0.2473404255319149,0.1342070048027651,0.9534836152256928
2015,0.16243749472908503,0.1060344827586207,0.7773533007334963,0.849408836341008,0.7316818385315625,0.6337977202822507,0.23404255319148934,0.1107595021420934,0.9551043601908773
2016,0.1965211382763641,0.12780172413793103,0.6508251833740831,0.8665214685749845,0.745709595582749,0.7770942645196307,0.4734042553191489,0.1911380825101764,0.9561280403445602
2017,0.27949243216418496,0.16594827586206898,0.656479217603912,0.9057249533291848,0.734517236233398,0.7590012665098606,0.4414893617021277,0.3081326411424462,0.9580089559964745
2018,0.3671459235494098,0.24008620689655172,0.7307457212713937,0.9548848786558805,0.8033129383674079,0.6949520535552741,0.3297872340425533,0.24925824927193765,0.9608635009836095
2019,0.5047887588039772,0.4058189655172414,0.848257946210269,0.9562850031113876,0.8725563348753919,0.7316808395151077,0.4574468085106384,0.2835816172237518,0.9653804622834706
2020,0.587622341000698,0.6799568965517241,0.8892114914425427,0.9796204107031736,0.9726906431875841,0.8027863216935045,0.5851063829787235,0.16720197032634188,0.9644985020520148
2021,0.7370395258443255,0.8329741379310345,0.8523838630806846,0.9939327940261357,0.9383674078495748,0.8641215849466255,0.723404255319149,0.21729649361957132,0.9555743493292407
2022,0.8664885154784361,0.9157327586206896,0.8050122249388754,1.0,0.8952395164900763,0.9254568481997466,0.800531914893617,0.1737754600493148,0.9531605120189912
2023,1.0,1.0,0.7574877750611247,0.9684194150591163,0.8864348604685869,0.9522344852542066,0.7420212765957447,0.16186094526516928,0.9530168044902271
2024,0.9242585698949354,0.5799568965517241,0.5903117359413202,0.9645301804604853,0.697209371735562,1.0,1.0,0.034158117218773904,0.943338441841359
2025,0.829030935499204,0.05668103448275862,0.42267726161369196,0.9083696328562538,0.3942695120131324,0.9750316627465171,0.7340425531914894,0.019003584586503648,0.9339283054239806
