test_year,model,F1-score,strategy_cum_return
2024,base,0.5595238095238095,-0.8473315528249019
2024,fusion,0.5510835913312694,-0.8552952225669596
2024,naive_momentum,0.3829787234042553,-0.2146536739631759
2025,base,0.5932721712538226,-0.1446138234596717
2025,fusion,0.6193181818181818,0.1715894252495613
2025,naive_momentum,0.4507042253521127,0.1452614848316955
2026,base,0.5185185185185185,-0.8511996472804586
2026,fusion,0.5185185185185185,-0.8511996472804586
2026,naive_momentum,0.1142857142857142,-0.7167077131094239
