period,year,pc1,pc2,topsis_score,rank,pca_score,pca_rank,stage
1993-12-31,1993,-0.44650455671157235,0.18982507429320306,0.08019825245120467,31,0.1732347771239932,25,早期基础期
1994-12-31,1994,-0.6551582256833786,0.5542723622443254,0.21276576541341877,16,0.07481097787414913,31,早期基础期
1995-12-31,1995,-0.5506355043882023,0.24602395329808102,0.0778881898343137,32,0.1241152790565736,28,早期基础期
1996-12-31,1996,-0.32890323552504735,0.40089031912677153,0.10419402209430512,28,0.22870837068703273,22,早期基础期
1997-12-31,1997,-0.248019309780109,0.2528119667531213,0.1494387150334832,20,0.26686204087787324,18,早期基础期
1998-12-31,1998,-0.11046209548791792,0.28137787978230394,0.2183120128665466,14,0.33174900745545016,15,早期基础期
1999-12-31,1999,-0.19501699326370484,0.02687847335453942,0.12930851448900846,22,0.29186370697027325,16,早期基础期
2000-12-31,2000,-0.2762114026869496,-0.0630886120184233,0.13518605855905805,21,0.2535635788552823,20,早期基础期
2001-12-31,2001,-0.41881380177800226,-0.09199531568723206,0.1268380622788268,23,0.1862967535468789,23,早期基础期
2002-12-31,2002,-0.42360429692136525,-0.1226111179894968,0.1171417236018629,25,0.18403703420131867,24,早期基础期
2003-12-31,2003,-0.8137538614115387,-1.0586283092320727,0.049956388177447006,33,0.0,33,早期基础期
2004-12-31,2004,-0.5266048771289182,-0.21142362253146083,0.10263132715694832,29,0.13545074056497006,27,早期基础期
2005-12-31,2005,-0.7443398413172214,-0.38134981493749104,0.08604977631136936,30,0.032743213251672475,32,早期基础期
2006-12-31,2006,-0.5552384739385026,-0.08571053337985172,0.11333505663067271,26,0.12194401720815093,29,稳步扩张期
2007-12-31,2007,-0.5686819659186935,-0.1093000545068112,0.10729805718903013,27,0.11560260197018554,30,稳步扩张期
2008-12-31,2008,-0.44863924587960996,-0.055081182414888984,0.1260710394971532,24,0.17222782517739627,26,稳步扩张期
2009-12-31,2009,-0.28503080393424624,0.09001086777228938,0.15983077165774195,18,0.2494033885162136,21,稳步扩张期
2010-12-31,2010,-0.262790050655249,0.02047285253157655,0.1585285455781595,19,0.25989455048180127,19,稳步扩张期
2011-12-31,2011,-0.22672161891488132,0.01262214076421251,0.162025610112989,17,0.2769083518798986,17,稳步扩张期
2012-12-31,2012,0.007092917072141874,0.3012285412704588,0.2260426366030213,12,0.38720075682577937,14,稳步扩张期
2013-12-31,2013,0.03730771086120895,0.13617722532928858,0.21552344046573607,15,0.40145334492032375,13,稳步扩张期
2014-12-31,2014,0.08136231792702195,0.10927284514859506,0.22562454969445742,13,0.42223429654817285,12,稳步扩张期
2015-12-31,2015,0.09648595842409667,0.11696147983690888,0.22835044211922667,11,0.4293682528478439,11,稳步扩张期
2016-12-31,2016,0.2722862924424833,0.047436392853727874,0.27462082890935796,10,0.5122948405697173,10,加速增长期
2017-12-31,2017,0.3113846200014007,0.05309619015898273,0.3074792232604887,9,0.5307378708870203,9,加速增长期
2018-12-31,2018,0.35419405668065196,0.08391981768175606,0.3427266174412215,8,0.5509314645222554,8,加速增长期
2019-12-31,2019,0.5994107621779131,0.13691074452109558,0.4693679580461784,6,0.6666023746648984,7,加速增长期
2020-12-31,2020,0.8845258379721127,0.12303953224542931,0.6119147810807318,5,0.8010937024299721,5,加速增长期
2021-12-31,2021,1.0949175450744568,0.03583484805786991,0.7285382392407195,3,0.9003373497893251,4,高位表现期
2022-12-31,2022,1.2384654258305547,-0.06901458313092787,0.7829800950360987,2,0.9680501672437252,2,高位表现期
2023-12-31,2023,1.3061975178493752,-0.11729988322851292,0.8035658148464666,1,1.0,1,高位表现期
2024-12-31,2024,1.1544046685115867,-0.3479943199594876,0.6741019206333976,4,0.9283979572254585,3,近期调整期
2025-12-31,2025,0.6470945305001048,-0.505566158007879,0.4608199940476856,7,0.6890952340713326,6,近期调整期
