year,topsis_score,rank
1993,0.08019825245120467,31
1994,0.21276576541341877,16
1995,0.0778881898343137,32
1996,0.10419402209430512,28
1997,0.1494387150334832,20
1998,0.2183120128665466,14
1999,0.12930851448900846,22
2000,0.13518605855905805,21
2001,0.1268380622788268,23
2002,0.1171417236018629,25
2003,0.049956388177447006,33
2004,0.10263132715694832,29
2005,0.08604977631136936,30
2006,0.11333505663067271,26
2007,0.10729805718903013,27
2008,0.1260710394971532,24
2009,0.15983077165774195,18
2010,0.1585285455781595,19
2011,0.162025610112989,17
2012,0.2260426366030213,12
2013,0.21552344046573607,15
2014,0.22562454969445742,13
2015,0.22835044211922667,11
2016,0.27462082890935796,10
2017,0.3074792232604887,9
2018,0.3427266174412215,8
2019,0.4693679580461784,6
2020,0.6119147810807318,5
2021,0.7285382392407195,3
2022,0.7829800950360987,2
2023,0.8035658148464666,1
2024,0.6741019206333976,4
2025,0.4608199940476856,7
