period,year,topsis_score,rank
2023-12-31,2023.0,0.8035658148464666,1
2022-12-31,2022.0,0.7829800950360987,2
2021-12-31,2021.0,0.7285382392407195,3
2024-12-31,2024.0,0.6741019206333976,4
2020-12-31,2020.0,0.6119147810807318,5
2019-12-31,2019.0,0.4693679580461784,6
2025-12-31,2025.0,0.4608199940476856,7
2018-12-31,2018.0,0.3427266174412215,8
2017-12-31,2017.0,0.3074792232604887,9
2016-12-31,2016.0,0.27462082890935796,10
2015-12-31,2015.0,0.22835044211922667,11
2012-12-31,2012.0,0.2260426366030213,12
2014-12-31,2014.0,0.22562454969445742,13
1998-12-31,1998.0,0.2183120128665466,14
2013-12-31,2013.0,0.21552344046573607,15
1994-12-31,1994.0,0.21276576541341877,16
2011-12-31,2011.0,0.162025610112989,17
2009-12-31,2009.0,0.15983077165774195,18
2010-12-31,2010.0,0.1585285455781595,19
1997-12-31,1997.0,0.1494387150334832,20
2000-12-31,2000.0,0.13518605855905805,21
1999-12-31,1999.0,0.12930851448900846,22
2001-12-31,2001.0,0.1268380622788268,23
2008-12-31,2008.0,0.1260710394971532,24
2002-12-31,2002.0,0.1171417236018629,25
2006-12-31,2006.0,0.11333505663067271,26
2007-12-31,2007.0,0.10729805718903013,27
1996-12-31,1996.0,0.10419402209430512,28
2004-12-31,2004.0,0.10263132715694832,29
2005-12-31,2005.0,0.08604977631136936,30
1993-12-31,1993.0,0.08019825245120467,31
1995-12-31,1995.0,0.0778881898343137,32
2003-12-31,2003.0,0.049956388177447006,33
