source,variant,top_k,min_probability,periods,total_return,benchmark_total_return,excess_total_return,annualized_return,benchmark_annualized_return,sharpe,max_drawdown,win_rate,avg_period_return,avg_excess_return,avg_turnover,avg_selected_count,selected_positive_rate
walk_forward,lightgbm_financial,5,0.0,214,-0.37046452718011214,-0.5455347359327303,0.17507020875261814,-0.10326020887725917,-0.16950578391649973,-0.11751295696062386,-0.4665938750831615,0.4719626168224299,-0.000893937995660592,0.0016753430811908122,0.44579439252336445,5.0,0.4794392523364486
walk_forward,lightgbm_financial,3,0.0,214,-0.37623677201540995,-0.5455347359327303,0.16929796391732033,-0.1052034890993796,-0.16950578391649973,-0.06269099336888494,-0.5695772172708815,0.4485981308411215,-0.0005533060922911333,0.002015974984560271,0.7398753894080997,3.0,0.4766355140186916
walk_forward,lightgbm_valuation,5,0.0,214,-0.4546985138020654,-0.5455347359327303,0.09083622213066489,-0.13308953333820228,-0.16950578391649973,-0.20688919091364175,-0.5549414975915898,0.4766355140186916,-0.0015701042550812338,0.0009991768217701704,0.4757009345794392,5.0,0.4747663551401869
walk_forward,lightgbm_financial,1,0.0,214,-0.47905883600310895,-0.5455347359327303,0.06647589992962133,-0.142370397558907,-0.16950578391649973,-0.05154206468383375,-0.5020320106162603,0.4485981308411215,-0.0005698240406741816,0.0019994570361772236,1.2570093457943925,1.0,0.4766355140186916
walk_forward,lightgbm_financial,2,0.0,214,-0.5025426385233168,-0.5455347359327303,0.042992097409413454,-0.15163693118911858,-0.16950578391649973,-0.1721921711217703,-0.5395400590395797,0.4439252336448598,-0.0015352216035041284,0.0010340594733472758,1.0186915887850467,2.0,0.4883177570093458
walk_forward,lightgbm_valuation,2,0.0,214,-0.5269059866606671,-0.5455347359327303,0.01862874927206315,-0.161611006428116,-0.16950578391649973,-0.19739685643438626,-0.5663898555340376,0.4439252336448598,-0.0017832273069064654,0.0007860537699449382,0.9485981308411215,2.0,0.46261682242990654
walk_forward,lightgbm_market,3,0.0,214,-0.567700801348128,-0.5455347359327303,-0.022166065415397673,-0.1792287651189972,-0.16950578391649973,-0.4261383494192003,-0.5863160565871822,0.45794392523364486,-0.0028410439050099174,-0.0002717628281585134,0.8333333333333333,3.0,0.46261682242990654
walk_forward,lightgbm_valuation,3,0.0,214,-0.6068231322853332,-0.5455347359327303,-0.06128839635260297,-0.19736188207274696,-0.16950578391649973,-0.34746655296204665,-0.6254167926016247,0.4252336448598131,-0.0028733951261463437,-0.00030411404929493865,0.7710280373831776,3.0,0.46105919003115264
walk_forward,lightgbm_valuation,1,0.0,214,-0.6315070522850621,-0.5455347359327303,-0.08597231635233182,-0.20952526445846031,-0.16950578391649973,-0.18708365166344904,-0.6466316958404976,0.43457943925233644,-0.002097307632300808,0.00047197344455059717,1.1635514018691588,1.0,0.4439252336448598
walk_forward,lightgbm_market,5,0.0,214,-0.6421481966191465,-0.5455347359327303,-0.09661346068641619,-0.21496169254542685,-0.16950578391649973,-0.6187234149395384,-0.6429142973096984,0.45794392523364486,-0.003857721178778247,-0.0012884401019268427,0.5242990654205607,5.0,0.4672897196261682
walk_forward,lightgbm_market,2,0.0,214,-0.681650914418737,-0.5455347359327303,-0.13611617848600677,-0.23629289543640108,-0.16950578391649973,-0.5570006575844397,-0.6957387993036005,0.46261682242990654,-0.004056853647377963,-0.0014875725705265593,1.0,2.0,0.4742990654205608
walk_forward,lightgbm_market,1,0.0,214,-0.8439238191285237,-0.5455347359327303,-0.2983890831957934,-0.35431682793126573,-0.16950578391649973,-0.7840333899686003,-0.8394690484142497,0.4439252336448598,-0.00676780895883188,-0.004198527881980477,1.341121495327103,1.0,0.46261682242990654
